idx,Category,Word_Gen_1,Description_Gen_1,Word_Gen_2,Description_Gen_2,Word_Gen_3,Description_Gen_3,Word_Gen_4,Description_Gen_4,Word_Gen_5,Description_Gen_5,Word_Gen_6,Description_Gen_6,Word_Gen_7,Description_Gen_7,Word_Gen_8,Description_Gen_8,Word_Gen_9,Description_Gen_9,Word_Gen_10,Description_Gen_10,Word_Gen_11,Description_Gen_11
18,Low-Freq-Concrete,Ermine,It is a small carnivorous mammal of the weasel family that changes from a brown summer coat to a pure white fur in winter. Its pelts have long been used for luxurious royal garments and as a heraldic symbol of purity.,,This is a living animal (mammal) that is very rare in North America. It’s named for its white fur coat.,Polar bear,,,"This is a large white animal that lives in very cold Arctic regions. It is a strong, furry and is often shown walking across ice.",Bear,,,It is a large strong mammal with shaggy hair. Different types can be found in forests and the arctic. A fairy tale is based on a young girl and three of these animals.,Bear,,,"If it is white it is dangerous, if it is black try and fight back if possible. If it is brown lay there and play dead. An animal which is very dangerous, large and loves honey.",Bear,,,"This is an animal with 4 legs. They can be black, brown, and white and hibernate",Bear,
19,Low-Freq-Abstract,Avarice,"A strong, selfish desire to acquire and keep money or possessions, often at the expense of others. It is characterized by an insatiable craving for wealth and a willingness to hoard or exploit resources.",,This is a vocab word for greed. It means to be extremely greedy and selfish.,Avarice,,,It means wanting more money or more possessions than you really need. It's kind of seen as selfish.,Greed,,,It is a word often associated with excessive want for food or money. It is a negative trait which people who are selfish and unwilling to share have.,Greed,,,"A word used to describe a passion for gluttony. A hoarding of supplies, whether food or money. This word means not to share.",Greed,,,This is a selfish desire to have a lot of something. It is one of the seven deadly sins,Greed,
20,Low-Freq-Abstract,Depravity,It denotes a condition of extreme moral corruption and wickedness. The term is used to describe actions or behavior that are profoundly immoral or sinful.,,This means to be abhorrent and awful and perverse. It’s much worse than just being gross or disgusting.,Depraved,,,This describes someone or something morally bad or deeply corrupt. It is usually used for behaviour that most people would find shocking or wrong.,Evil,,,It is a word used to describe the opposite of goodness. A saying goes that money is the root of this.,Evil,,,"A word that means a horrible, soulless person. It is a word to describe terrible deeds.",Monster,,,This is a scary creature you normally see around Halloween. This is also the name is an energy drink,Monster,
21,Low-Freq-Concrete,Cactus,"It is a plant that stores water in thick, fleshy stems and is commonly covered in sharp spines. It typically thrives in arid desert environments and often produces large, colorful flowers.",,This is a plant that lives in the desert. It’s typically green and has little spikes all over it.,Cactus,,,This is a green coloured desert plant that stores water and often has sharp spines. It can survive in very dry places where many plants would die.,Cactus,,,It is a plant that thrives in the desert. It has a very prickly surface and can come in all sorts of shapes and sizes.,Cactus,,,Usually found in hot arid habitats. Contains sharp spikes that break off upon contact.,Cactus,,,This is a prickly plant normally found in the desert. They have spines as leaves and stems threat hold water,Cactus,
22,High-Freq-Concrete,Glass,"It is a clear, hard substance formed by heating sand and other minerals until they melt and then cooling them rapidly. The material is commonly used for windows, drinking vessels, and optical lenses.",,"It’s a see through material that’s sharp when it breaks. It’s also the last name of Jan Brady’s fictitious boyfriend, George.",Glass,,,"It is a hard clear material, often used for windows, cups and bottles. It can break easily if dropped or hit too hard.",Glass,,,"It is a transparent material that is hard and useful in all sorts of objects, such as windows and drinking utensils. It is strong but can shatter if dropped, shattering into tiny pieces.",Glass,,,"Made from sand and heat. This thing is transparent generally but could be stained, it is very fragile.",Glass,,,This is what windows are made of. If something is easily breakable it can be called this,Glass,
23,High-Freq-Concrete,Map,"It is a flat illustration that shows the layout of a region, marking roads, terrain, and landmarks with symbols and colors. Such a diagram includes a scale, a legend, and often a compass rose to indicate direction.",,"This is similar to an atlas. It’s a drawing of a state or country that shows roads, the geography, and how to get places.",Map,,,It is a drawing or guide that shows where places are. People use it to find directions or understand the layout of an area.,Map,,,"It is a tool used to navigate from place to place by any mode of transport. It is mostly accessed online now, but paper versions were used back in the day.",Map,,,"This item is used to locate destinations. Used locally or globally, showing the lands all around the world.",Atlas,,,It is a collection of maps. It's named for the Greek Titan that held up the sky.,Hercules,
24,Low-Freq-Concrete,Bouquet,"An arrangement of cut flowers, often tied together and given as a gift or used for decoration. It is commonly presented at celebrations such as weddings, birthdays, or as a token of appreciation.",,This is a word for many many flowers all put together in a nice arrangement. It’s something a bride typically carries on her wedding day.,Bouquet,,,"This is an arranged bunch of flowers usually given as a gift. People might buy one for weddings, funerals or birthdays.",Bouquet,,,"Flowers need to be arranged together carefully to make this. A bride will often carry one during her wedding ceremony, and then throw it to the crowd at the end of the night.",Bouquet,,,This is usually thrown at a wedding as it is traditional. Whoever catches this at a wedding is generally implied to be the next to get married.,Bouquet,,,It is a bunch of flowers. The bride carries one in her wedding.,Bouquet,
25,Low-Freq-Abstract,Adulation,"It means giving someone excessive, often insincere, praise or flattery. The term is commonly used to describe the over‑the‑top admiration people show toward celebrities or leaders.",,This is a vocab word for very high praise given to someone. It’s not a word used commonly and the first 4 letters are what you call a person who’s all grown up and not a child.,Accolade,,,"This is an award, honour or praise, given for doing something well. It usually shows that someone's work or achievement has been recognised.",Medal,,,"It is a small object that is given to winners in competitions, such as the Olympics. It can be made from different materials, such as gold, silver, bronze.",Medal,,,"Used to award people, generally made of metal. Tends to have a ribbon or lanyard that goes around your neck.",Medal,,,This is a prize that an Olympian wins. It comes in 3 different colors,Metal,
26,High-Freq-Abstract,Knowledge,"Information, facts, and understanding acquired through learning or experience. It enables people to answer questions, solve problems, and make informed decisions.",,"This is information that you contain in your head. It could also be information (facts, figures, data) contained within a book.",Knowledge,,,"This is the information and understanding a person has learned. It can come from school, lived experience, reading, or even being taught by others.",Knowledge,,,Wise people usually have a lot of this. Young people get an education to seek this.,Wisdom,,,Something generally you get more of as you get older. This word is used to guide and advise those younger or less informed.,Wisdom,,,This is the ability to use knowledge and experience to make good judgments. It normally involves emotional maturity and empathy,Wisdome,
27,High-Freq-Abstract,Age,"It is the length of time that a person, animal, or object has existed, usually counted in years, and often denotes a specific period in history. The term also describes the gradual process of getting older.",,This is how we keep track of how old people are. You do this as you get older.,Age,,,It tells how long someone or something has existed. People often mention it when talking about their birthdays.,Age,,,It is a word used to describe how old someone is. It can also be used to describe the maturity of cheeses.,Age,,,This is one thing that rises and never comes down. This word rises on every birthday.,Age,,,This is how old someone is. It is also a time period,Age,
28,High-Freq-Abstract,Credit,"In finance, it is an entry that records an amount owed to a party, reducing the balance on a ledger or indicating a loan. In everyday language, it denotes public acknowledgment or praise given to someone for their contribution or achievement.",,This is a word that might be used to describe how you pay for things if you don’t have cash or debit. It can also mean you getting your dues for how much effort or work you put into something.,Credit,,,This can mean being trusted to borrow money and pay it back later. It can also mean giving someone recognition for something they did.,Loan,,,"It is a monetary tool that is often a debt that has to be paid back with interest. It can also be used to describe non-monetary borrowing of an item, such as a book.",Credit,,,The word generally comes before card. It implies you are in surplus of something whether it is a money account or a compliment.,Credit,,,This is a card that you can buy things with. It can also mean to give pause or acknowledge someone,Discovery,
29,Low-Freq-Abstract,Fame,"It is the state of being widely known and recognized, often because of notable achievements or public exposure. This condition can bring admiration, attention, and sometimes pressure from the public.",,This is the title of an old 80s TV show that was previously a movie musical. It’s also another word for being well known that is often paired with fortune.,Fame,,,"This is when many people know who somebody is. It often happens to actors, singers, athletes, or people who become popular in entertainment especially.",Famous,,,It is something that often comes along with success for people that are in the film and music industries. It can also challenge their privacy.,Fame,,,"A word which means you are well known by the majority of public, considered a symptom of being a celeb. Oh and also was used in a well known film and song, it lives forever.",Fame,,,This is something people want when they move to Hollywood. It is an older tv show about a theater arts school,Fame,
30,Low-Freq-Concrete,Barnacle,"A marine crustacean that cements itself permanently to rocks, ship hulls, or other hard surfaces. It has a hard, cone‑shaped shell and feeds by filtering plankton from the surrounding water.",,This is a growth sometimes found on the bottom of a ship. They grow in colonies.,Barnacles,,,"These are small sea creatures that stick tightly to rocks, boats, and sometimes whales. They have very hot showers and I difficult to scrape off.",Barnicles,,,It is a type of crustacean that rhymes with spectacles.,Crab,,,"Can be found in the sea or beach. Is eaten in many different countries, has claws that you better watch out for. This thing can only move side to side.",Crab,,,"This is a crustacean with 10 legs, two of which are claws. This can also be a term for a grumpy person",Crab,
31,High-Freq-Concrete,Pen,"It is a small handheld instrument used for writing or drawing by delivering ink onto paper. Often made of plastic or metal, it contains a thin cartridge of liquid ink that flows through a narrow tip when pressure is applied.",,This is a writing instrument similar to a pencil. It uses ink but is not indelible like a marker.,Pen,,,It is a small tool you hold in your hand that is used for writing or drawing with ink. People often carry one and use it at work or school when filling in paperwork.,Pen,,,It is a basic tool that is used to write on paper. It is filled with ink.,Pen,,,An item that is used to write and draw on things such as paper. Uses ink and generally comes in black or blue.,Pen,,,"This is a writing tool that uses ink. It is also a closed, secure area used for keeping parts and livestock safe",Pen,
