idx,Category,Word_Gen_1,Description_Gen_1,Word_Gen_2,Description_Gen_2,Word_Gen_3,Description_Gen_3,Word_Gen_4,Description_Gen_4,Word_Gen_5,Description_Gen_5,Word_Gen_6,Description_Gen_6,Word_Gen_7,Description_Gen_7,Word_Gen_8,Description_Gen_8,Word_Gen_9,Description_Gen_9,Word_Gen_10,Description_Gen_10,Word_Gen_11,Description_Gen_11
10,High-Freq-Abstract,Information,"It is data or knowledge that is communicated or received about a particular subject, often used to make decisions. It can be stored, transmitted, or processed in various forms such as text, numbers, images, or signals.",Information,,,A collection of details used to better understand something. Something that is needed to learn about things more clearly.,Information,,,To learn or absorb knowledge. Facts about something.,Comprehend,,,To understand something completely and take it in all of its nature.,Accept,,,"To agree to do something. If you dont want to deline something, you must do this.",Accept,,,It is the opposite of refusing something. The opposite of rejecting something.
11,High-Freq-Concrete,Child,"A young human being who has not yet reached puberty, typically dependent on adults for care and education. They often attend school, play games, and are legally considered a minor.",Child,,,Used to describe the offspring of parents. Someone that is younger than an adolescent.,Child,,,"Small adult, still growing. Person between infant and teenager.",Kid,,,Some people use it as slang or an insult. It can be used to describe a young goat or a young person,Kid,,,This is an informal word to describe a smaller version of a teenager. This word is associated with young goats.,Toddler,,,This word is used to call a small child between the ages of 1-3 years old.
12,Low-Freq-Abstract,Deference,It is a respectful attitude shown toward someone of higher authority or seniority. It involves yielding to that person’s wishes or opinions out of admiration and politeness.,Deference,,,"Something a narcissist would expect someone to do with their request/opinion, even if the other person didn't agree. Something people do with other people's request/opinion out of respect.",Obey,,,To adhere to rules. To do what is asked of.,Obedience,,,following someone's orders and submit to them. It would be normally to someone in authority or power over the individual,Subjugate,,,"Unknown word, so not sure how to describe sorry.",Different,,,It is the opposite of the same. It describes things that are not alike.
13,Low-Freq-Concrete,Cymbal,"It is a thin, round metal disc, usually made of brass or bronze, with a raised central hub. When struck with a drumstick or by hand it produces a bright, crashing sound that is a staple in orchestras, marching bands, and modern drum kits.",Cymbal,,,A flat type of percussion instrument. A round metal object you hit with a mallet.,Cymbal,,,Part of a drum set. A round flat brass percussion piece.,Cymbal,,,It is an percussion instrument. It can be used in a set or an individual instrument. used for a variety of musical styles.,Drum,,,A cylindrical musical instrument which involves hitting a skin to make noise. It is a key component of a modern rock band.,Drum,,,You can use this item to make music. You hit on it to make a sound.
14,Low-Freq-Concrete,Buckle,"It is a metal clasp that fastens a strap or belt, commonly seen on shoes, belts, or saddles. As a verb, it also means to bend or give way under pressure, causing a structure to collapse.",Buckle,,,You do this with a seatbelt. A type of dress shoe for girls.,Fasten,,,To connect together. To attach one side to the other.,Link,,,A connection between to points. It could be viewed as a character within a popular video game.,Route,,,A journey with a set destination. A sequence of multiple directions which leads to something/ somewhere.,Vacation,,,It's another word for holiday. It describes people going away to rest.
15,High-Freq-Concrete,Rain,"It is water that falls from clouds to the ground in droplets, usually accompanied by a gray or overcast sky. This natural phenomenon often makes surfaces wet and can be measured in millimeters per hour.",Rain,,,"A liquid that falls from the sky. People do this at strip clubs, they make it do this if they have a lot of money.",Rain,,,Precipitation from the sky. Liquid that comes from clouds.,Rain,,,It is a major component of the water cycle. Some people love it while others hate it.,Rain,,,It is something that falls from the sky. It is made out of water.,Rain,,,It is the opposite of a sunny day and makes everywhere wet. You usually have to carry an umbrella.
16,High-Freq-Abstract,Hate,"It is a powerful feeling of aversion or hostility toward a person, group, or thing. This emotion frequently drives a desire to avoid, oppose, or see the object of the feeling harmed.",,The exact opposite of love. A negative emotion that goes far beyond dislike.,Hate,,,It is the opposite of love. It is a strong word that means that you really dislike or despise someone.,Hate,,,It's a feeling of intense dislike for someone or something. It's considered the opposite emotion of love.,Hate,,,a very strong dislike for something the other side of love,Hate,,,It a strong feeling of dislike. This feeling can cause friendships to break up.,Hate,
17,High-Freq-Concrete,Bird,"It is a warm‑blooded vertebrate covered in feathers, equipped with wings and a beak, and most species can fly. These creatures lay hard‑shelled eggs and are often heard singing while perched in trees.",,Those animals that fly in the air. They have feathers and beaks.,Birds,,,"The plural name for a type of animals that (usually) can fly, has feathers, and often builds nests. They lay eggs and have a beak instead of a mouth.",Birds,,,These are flying animals with beaks and wings. They often tweet and sing songs.,Songbirds,,,two legged and winged known for its melodic calling can be used to describe a female vocalist,Angel,,,A supernatural creature that has wings. It is biblical.,Angel,
18,Low-Freq-Concrete,Ermine,It is a small carnivorous mammal of the weasel family that changes from a brown summer coat to a pure white fur in winter. Its pelts have long been used for luxurious royal garments and as a heraldic symbol of purity.,,A weasel like animal. Something similar to a long rodent.,Ferret,,,"A type of mammal that has a long(ish) body, and can be kept as a pet. It is not a dog, has small feet and little beady eyes.",Ferret,,,This is a long rodent. They live in forests and are often kept as exotic pets.,Rat,,,a rodent larger then a mouse the subject of a book by by james herbert,Rat,,,It is a rodent that eats clothes and food. It can be grey or white in color.,Mouse,
19,Low-Freq-Abstract,Avarice,"A strong, selfish desire to acquire and keep money or possessions, often at the expense of others. It is characterized by an insatiable craving for wealth and a willingness to hoard or exploit resources.",,"A type of longing for more, a greed where someone always seeks to gain more things. The things could be wealth or simple material goods, but the feeling itself is wanting things too much.",Gluttony,,,The act of being greedy or over-indulging. It is the key word from one of the 10 commandments.,Gluttony,,,This is the quality of eating way too much. It's considered one of the seven deadly sins.,Gluttony,,,you can be guilty of this if you consume to excess one of the 7 deadly sins in the bible,Gluttony,,,Desire to over eat. It is seen as greed or lack of self control.,Gluttony,
20,Low-Freq-Abstract,Depravity,It denotes a condition of extreme moral corruption and wickedness. The term is used to describe actions or behavior that are profoundly immoral or sinful.,,"Disgusting, animalistic behavior. Something unfitting for a human to engage it.",Bestial,,,"To behave in an aggressive, animal-like way. Acts that are savage, brutal.",Ferocious,,,"It's the quality of being fearsome and powerful. Usually it's ascribed to a big, scary animal.",Lion,,,king of the jungle defeated by daniel,Tiger,,,It lives in the wild and has stripes. It is also very fast.,A cheetah,
21,Low-Freq-Concrete,Cactus,"It is a plant that stores water in thick, fleshy stems and is commonly covered in sharp spines. It typically thrives in arid desert environments and often produces large, colorful flowers.",,A plant found in the desert. It is pointy and can hurt you if you touch it.,Cactus,,,A type of plant that lives in the desert. It has spikes all over its body and can survive on very little water.,Cactus,,,This is a spiky green desert plant. They're full of water.,Cactus,,,grows in the desert but small versions can be grown in pots at home green and known for its spiky prickles,Cactus,,,A green plant found in the desert. It has thorns on its hard leaves.,Cactus,
22,High-Freq-Concrete,Glass,"It is a clear, hard substance formed by heating sand and other minerals until they melt and then cooling them rapidly. The material is commonly used for windows, drinking vessels, and optical lenses.",,Something most cups are made of. Used before plastic was a thing.,Glass,,,"Not a mug or cup, but another thing that you would drink out of. Also, it is the name of the clear material that is often a window or mirror.",Glass,,,"This is transparent, reflective material used for containers, windows, mirrors, eyewear, and more. It is made from processing sand.",Glass,,,can be used to make drinking receptacles allows light into a house or other building,Glass,,,You can see through it. It is fragile.,Glass,
23,High-Freq-Concrete,Map,"It is a flat illustration that shows the layout of a region, marking roads, terrain, and landmarks with symbols and colors. Such a diagram includes a scale, a legend, and often a compass rose to indicate direction.",,"How navigators see the world. A person would need this to get from point a to point b, unless they were already familiar with the path.",Map,,,"A visual that shows the locations of different places, and shows the roads that can be taken from one area to another. It can be in a paper/book format, or often now accessed via smart phones.",Map,,,"This is a tool used to show an entire location as an image, usually on a piece of paper. This lets people navigate and find where places are.",Map,,,a way of displaying the geography of the world can be used to navigate to somewhere,Map,,,Used generally for direction. Can be a soft or hard copy.,Map,
24,Low-Freq-Concrete,Bouquet,"An arrangement of cut flowers, often tied together and given as a gift or used for decoration. It is commonly presented at celebrations such as weddings, birthdays, or as a token of appreciation.",,"An arraignment of flowers you'd give to someone you love, Brides throw this to single women at weddings.",Bouquet,,,"The name for a bunch of flowers that you gift to someone. They can be any type of flowers, but this is what you would ask for in a florist or shop.",Bouquets,,,This is a bunch of flowers. They're often thrown by the bride at weddings.,Bouqet,,,a collection of flowers presented in a hand hold display a bride tends to hold and throw this at a wedding,Boquet,,,A way of arranging a bundle of flower. Used when gifting a loved one.,Bouquet,
25,Low-Freq-Abstract,Adulation,"It means giving someone excessive, often insincere, praise or flattery. The term is commonly used to describe the over‑the‑top admiration people show toward celebrities or leaders.",,"What famous people and those who've accomplished something impressive achieve from the masses. Applause, cheering, positive comments, they all fall under this.",Recognition,,,It can refer to public praise or gratitude to someone for something they have achieved. It can also describe realising that you have met someone before.,Recognition,,,This is the quality of being seen for one's accomplishments. People often seek this when trying to make a name for themselves.,Fame,,,"can be achieved by being known for acting, singing etc a popular tv show and film from the 80s set in a performing arts school",Fame,,,To be recognized by a lot of people. It can come from talent or an achievement that captures other's attention.,Fame,
26,High-Freq-Abstract,Knowledge,"Information, facts, and understanding acquired through learning or experience. It enables people to answer questions, solve problems, and make informed decisions.",,What people gain by understanding things. People study and learn to gain this and become more informed.,Information,,,"Something that is gained through doing a task, exploring data, studying images, speeches, evidence, or texts. It is not the word 'knowledge'.",Experience,,,"It is the state of gaining skill or knowledge in a certain area. In RPGs, you get these kinds of points from fighting enemies to level up your skills.",Experience,,,when you have done something for a long time you gain this a way of describing the thing you have gone through that day and can be good or bad,Experience,,,A skill gotten from doing something for a long time. It is needed when looking for a job.,Experience,
27,High-Freq-Abstract,Age,"It is the length of time that a person, animal, or object has existed, usually counted in years, and often denotes a specific period in history. The term also describes the gradual process of getting older.",,"The process by which humans transform from young to old. It can also be used to indicate how many years someone has spent on earth, from birth.",Age,,,A word that accompanies a number when describing how old someone is. It has three letters.,Age,,,This is the quality of how old someone is. It updates by one number every year.,Age,,,a measurement of how old someone is shakespear said there was 7 of these for a person,Decade,,,A length in time with an interval of 10 year. People think back to when they were younger to see how far they have come.,Decade,
28,High-Freq-Abstract,Credit,"In finance, it is an entry that records an amount owed to a party, reducing the balance on a ledger or indicating a loan. In everyday language, it denotes public acknowledgment or praise given to someone for their contribution or achievement.",,A point in a persons favor. If you owe someone something but cant pay them back you give them this.,Credit,,,"The first word of a type of monetary card that you can be used to purchase things and pay for services. It is a means of borrowing, or spending money that is not technically yours.",Credit,,,This is how much you can borrow on a loan. People often use cards for it.,Credit,,,the praise given to someone for a job well done The list of people involved in the production as the end of the film or tv show,Credits,,,"It is a system that allows you to purchase items on loan. The higher your score, the higher your good record.",Credit,
29,Low-Freq-Abstract,Fame,"It is the state of being widely known and recognized, often because of notable achievements or public exposure. This condition can bring admiration, attention, and sometimes pressure from the public.",,"Being known by others. Celebrities, singers, really any prominent person who is known my all would be considered this.",Famous,,,"Someone who is very well-known, a celebrity almost. when someone is so well known and recognisable by many, they are said to be this word.",Notable,,,"It's the quality of being worth remembering. If something is this, it's important to keep in mind.",Key,,,used to open a lock there are many of these on a piano,Key,,,A metal object used to open locks. It is carried everywhere when you are outside.,Key,
30,Low-Freq-Concrete,Barnacle,"A marine crustacean that cements itself permanently to rocks, ship hulls, or other hard surfaces. It has a hard, cone‑shaped shell and feeds by filtering plankton from the surrounding water.",,Something you'd find forming on the bottom of boats. It exists in the sea and is hard and difficult to remove.,Barnacles,,,Something that clings to the body of a ship (below the water). The end of the words rhymes with the end of the word that names the eight limbs of an octopus.,Barnacles,,,These are simple ocean animals. They cling to the undersides of ships.,Coral,,,colurful and under the sea protected,Coral,,,It is found in the ocean. It serves as a shelter to some marine creatures.,Coral leaf,
31,High-Freq-Concrete,Pen,"It is a small handheld instrument used for writing or drawing by delivering ink onto paper. Often made of plastic or metal, it contains a thin cartridge of liquid ink that flows through a narrow tip when pressure is applied.",,What people used to write things in the past before modern technology like smartphones. More permanent than a pencil.,Pen,,,"It can either mean a tool that you use for writing, or it can also be a type on enclosure in which you can keep animals. Often farm animals may be kept in this type of enclosure.",Pen,,,It's a writing tool that uses ink. You can use it to write or draw.,Pen,,,a writting implement that uses ink Can be disposable or refillable,Pen,,,It is used for writing. It comes in many colors and design.,Pen,
