idx,Category,Word_Gen_1,Description_Gen_1,Word_Gen_2,Description_Gen_2,Word_Gen_3,Description_Gen_3,Word_Gen_4,Description_Gen_4,Word_Gen_5,Description_Gen_5,Word_Gen_6,Description_Gen_6,Word_Gen_7,Description_Gen_7,Word_Gen_8,Description_Gen_8,Word_Gen_9,Description_Gen_9,Word_Gen_10,Description_Gen_10,Word_Gen_11,Description_Gen_11
10,High-Freq-Abstract,Information,"It is data or knowledge that is communicated or received about a particular subject, often used to make decisions. It can be stored, transmitted, or processed in various forms such as text, numbers, images, or signals.",Information,,,is typically gathered by detectives. Computers store it,Evidence,,,"This is very often needed in trials else the matter can be regarded as hearsay. ""Preponderance of x"" can be a requirement for the plaintiff.",Evidence,,,This word describes what detectives look for at a crime scene. It is also what is shown at court to a jury in order to prove guilt or innocence.,Evidence,,,"What you need to supply in a case to help prove your side. There’s multiple types of it, including physical, circumstantial, or testimonial.",Evidence,,,"This is something used to prove an argument, point or guilt by the police. It helps to strengthen a case."
11,High-Freq-Concrete,Child,"A young human being who has not yet reached puberty, typically dependent on adults for care and education. They often attend school, play games, and are legally considered a minor.",Child,,,people who don't yet know too much about the world. They need parental guidance,Children,,,It is a common word for the offspring of homo sapiens. There is a subset of psychology for the study of their minds.,Child,,,"If you are not an adult, you are one of these. It can also describe the size of something.",Child,,,Another word for toddler or young person. In the bible people had to sacrifice their first born.,Child,,,It is the young of a man and woman but older than a baby. The days of this are said to be the best of your life.
12,Low-Freq-Abstract,Deference,It is a respectful attitude shown toward someone of higher authority or seniority. It involves yielding to that person’s wishes or opinions out of admiration and politeness.,Respect,,,means to have high regard for someone. Often comes with money and power,Respect,,,"Usually, a relationship will wither if there is none of this. It is the word spelled out in a single released in 1965.",Love,,,Some people say this word is the opposite of hate. It is certainly something celebrated on Valentines Day.,Love,,,The way you feel about people who are the most important to you. The strongest and most divine emotion there is.,Love,,,This is a strong human emotion characterised by intense feelings typically towards your family or romantic partner. In emojis it is represented by a heart.
13,Low-Freq-Concrete,Cymbal,"It is a thin, round metal disc, usually made of brass or bronze, with a raised central hub. When struck with a drumstick or by hand it produces a bright, crashing sound that is a staple in orchestras, marching bands, and modern drum kits.",Cymbal,,,2 part brass percussion instrument. Ususally part of drum set,Cymbal,,,It is a round instrument typical on a drummer's right and left hand side. It makes a metallic crashing sound.,Symbols,,,"This is something that represents something else. For instance, a sideways 8 is a ""this word"" of infinity.",Symbol,,,Something used to represent something else. An example would be what a cross is for Christianity.,Symbol,,,This is something used to represent something else. Hierogliphics and emojis are types of this.
14,Low-Freq-Concrete,Buckle,"It is a metal clasp that fastens a strap or belt, commonly seen on shoes, belts, or saddles. As a verb, it also means to bend or give way under pressure, causing a structure to collapse.",Buckle,,,your knees do this if you lift something too heavy. Can also fasten your belt,Buckle,,,"It can mean several things. The most common are to bend (e.g. at the knee) or to fasten, or something that fastens.",Lock,,,This is what you do to a door to secure it. You can also buy a combination one for a locker.,Padlock,,,A device used to keep things safe / keep away from others. Typically needs a key or code to open.,Vault,,,This means to leap or jump over something. It is also a piece of apparatus in gymnastics.
15,High-Freq-Concrete,Rain,"It is water that falls from clouds to the ground in droplets, usually accompanied by a gray or overcast sky. This natural phenomenon often makes surfaces wet and can be measured in millimeters per hour.",Rain,,,water that falls from the sky. Typically cold,Rain,,,"The acidic form of this is harmful to most flora and fauna, but not humans. People commonly collect it in large buckets or vats.",Alcohol,,,Drinking this will make you drunk. You can also put it on a cut to disinfect it.,Alcohol,,,"Ingredient of spirited beverage. Vodka, beer, wine, tequila",Alcohol,,,This is something that only adults should drink and is typically served in bars and pubs. Doctors recommend drinking no more than 14 units of this per week.
16,High-Freq-Abstract,Hate,"It is a powerful feeling of aversion or hostility toward a person, group, or thing. This emotion frequently drives a desire to avoid, oppose, or see the object of the feeling harmed.",,This is often considered the opposite of love. It describes an intense dislike of someone or something.,Hate,,,To thoroughly dislike something or someone. An aversion to something.,Hate,,,"When your moral compass misaligns with someone else, you can feel a deep urge to administer physical or mental harm because of this burning rage in your heart. Often times, the feelings that spawn from this feeling cause more psychological harm to you than the object of your upset.",Anger,,,A feeling that turns your face red. It increases your heart rate and makes you want to hit something.,Anger,,,A feeling you might have towards someone that is stronger than disliking them. This is a feeling you would typically have if something has gone wrong or someone has done something hurtful to you or others.,Hate,
17,High-Freq-Concrete,Bird,"It is a warm‑blooded vertebrate covered in feathers, equipped with wings and a beak, and most species can fly. These creatures lay hard‑shelled eggs and are often heard singing while perched in trees.",,"This is a feathered creature that is very common. In most cases it can fly, lives in nests, and is often know for its songs.",Bird,,,A creature with wings that flies in the sky. It lives in nests,Bird,,,"A feathered fowl of any variety, often times referred to as the descendants of dinosaurs. Their songs fill the trees in spring, and many of them migrate south during the cold weather.",Bird,,,This avian flies through the air and creates nests in trees. It also sings in the morning.,Dove,,,"A small white bird, often depicted with an olive branch in its mouth. Also appears on the second day of the Twelve Days of Christmas song.",Turtle doves,
18,Low-Freq-Concrete,Ermine,It is a small carnivorous mammal of the weasel family that changes from a brown summer coat to a pure white fur in winter. Its pelts have long been used for luxurious royal garments and as a heraldic symbol of purity.,,This is a rodent that commonly lives in North America and Eurasia. It is commonly associated with winter and having a white coat.,Rabbit,,,A woodland creature with a fluffy white tail. It is sometimes kept as a pet in a hutch.,Rabbit,,,A furry rodent known for hopping in the grass and eating carrots. This adorable creature is also associated with Easter and reproductive health.,Rabbit,,,An animal that is the mascot for Easter. It is sometimes seen eating carrots.,Bunny,,,"A shortened word used to describe a small, fluffy animal. This animal has two long ears and is commonly associated with easter.",Bunny,
19,Low-Freq-Abstract,Avarice,"A strong, selfish desire to acquire and keep money or possessions, often at the expense of others. It is characterized by an insatiable craving for wealth and a willingness to hoard or exploit resources.",,This is a fancy word for greed. It is associated with intense selfishness and desire for wealth and possessions.,Envy,,,A jealous feeling. A grudge against a person who has something you would like.,Envy,,,"To covet or want what another person has, and is often time associated with the color green. Jack Black also played in a movie with Ben Stiller that has the word as the title.",Envy,,,"If someone has what you want, you might feel this emotion. A common saying is that people turn green with ---- to describe this emotion.",Envy,,,"A feeling similar to jealousy that people typically get when someone else has something they want. For example, what you might feel if a friend buys an expensive item of clothing you""ve been saving up for and can't yet afford.",Envy,
20,Low-Freq-Abstract,Depravity,It denotes a condition of extreme moral corruption and wickedness. The term is used to describe actions or behavior that are profoundly immoral or sinful.,,This is a general term for immorality and corruption. It often references deep moral failing or abandonment of virtue.,Depravity,,,Louche behaviour that verges on evil. A low life practice,Abuse,,,"This word refers to overuse or mistreatment, often times in correlation to mental, physical, or emotional health. Many people require help or therapy after or during such situations.",Addiction,,,This word comes to mind when you think about drug dependency. You might have this if you consume large amounts of alcohol daily.,Addiction,,,"An illness in which people crave substances that are bad for them, and become dependent on them. Common things people crave are alcohol, drugs and gambling",Addiction,
21,Low-Freq-Concrete,Cactus,"It is a plant that stores water in thick, fleshy stems and is commonly covered in sharp spines. It typically thrives in arid desert environments and often produces large, colorful flowers.",,This is a plant that is commonly found in desert regions. It is often prickly and can live with very small amounts of water.,Cactus,,,a prickly plant. It grows in desert regions.,Cacuts,,,(misspelled) This plant can be found in deserts around the world. The outside is covered in spikes while the inside remains mostly hollow to retain water during extended periods of a lack of water.,Cactus,,,A type of plant that might poke you if you touch it. It is commonly seen in desert areas.,Cactus,,,"A spiky green plant often found in dry desert environments. It comes in various shapes and sizes, but is most commonly depicted with arm-like branches.",Cactus,
22,High-Freq-Concrete,Glass,"It is a clear, hard substance formed by heating sand and other minerals until they melt and then cooling them rapidly. The material is commonly used for windows, drinking vessels, and optical lenses.",,This is a clear hard substance that is often transparent but sometimes colored as well. It is used to make windows and can be sharp and dangerous when broken or shattered.,Glass,,,A transparent hard substance . It is used to make windows and drinking vessels,Glass,,,It would be unwise for a person who lives in this type of house to throw stones. They should probably also change in their basement.,Glass,,,"If you drop it, it will shatter. Windows are made of this substance.",Glass,,,"A hard, clear material. The material windows are made out of.",Glass,
23,High-Freq-Concrete,Map,"It is a flat illustration that shows the layout of a region, marking roads, terrain, and landmarks with symbols and colors. Such a diagram includes a scale, a legend, and often a compass rose to indicate direction.",,This is an item used to determine location and directions. It was once a physical item that was commonly folded and kept in car glove compartments but is more often digital in modern iterations.,Map,,,A chart showing directions. The directions could be for a street or a country,Map,,,"A delightful geographic aide to the directionally challenged and utterly lost. Once on paper, one can now find such services on their phone or purchase special devices to go in their vehicles.",Map,,,If you're lost or traveling you might use this to find where you are. A traveling brochure might have this included.,Map,,,A piece of equipment used for navigation. Commonly printed on a large piece of paper but can be found on phones also.,Compass,
24,Low-Freq-Concrete,Bouquet,"An arrangement of cut flowers, often tied together and given as a gift or used for decoration. It is commonly presented at celebrations such as weddings, birthdays, or as a token of appreciation.",,This is a term for a bunch of cut flowers. A florist would commonly sell these arrangements consisting of a particular type or a mixed grouping of flowers.,Bouqet,,,A bunch of flowers. The aroma given off by wine.,Bouquet,,,Valentines Day often requires large arrangements of flowers that couples exchange to express adoration. These collections of flowers can also be given during weddings and funerals.,Bouquet,,,A bride might carry one of these during her wedding. A bride might also toss it behind her back to a bridesmaid.,Bouquet,,,A word used to describe a collection of flowers. This is commonly thrown during a wedding ceremony.,Bouquet,
25,Low-Freq-Abstract,Adulation,"It means giving someone excessive, often insincere, praise or flattery. The term is commonly used to describe the over‑the‑top admiration people show toward celebrities or leaders.",,This is a term for excessive admiration of celebrities or leaders. It's is often associated with fan worship and overenthusiastic devotion.,Idolization,,,worship of a person that is admired. A hero or heroine to another person,Idol,,,"In the times of Moses, the worship of such divine figures was considered blasphemy in Christianity and could invoke the wrath of an angry god. Now, we use the word to describe people who compete in a competition that started with singing and has progressed into different talents though the years.",Idol,,,"If you admire someone, you might call them your ----. This word describes what a kpop band member might be called.",Idol,,,A famous person that people admire. Someone that they look up to.,Star,
26,High-Freq-Abstract,Knowledge,"Information, facts, and understanding acquired through learning or experience. It enables people to answer questions, solve problems, and make informed decisions.",,"This is a term for the totality of information in general or about a particular subject. It encompasses familiarity, information, and understanding in a broader sense.",Consensus,,,A general agreement of a subject. A popular majority belief,Consensus,,,"A general mindset, created by a collective of people, and often times provided as fact in a social environment. Can be used in studies to give researchers a broad understanding of their subjects.",Summary,,,You will see this on the back of a book or movie. It explains what something is about but in a shortened version.,Synopsis,,,A summarisation of a story. This would typically be provided to give someone a rough idea of what they were going to read/watch.,Synopsis,
27,High-Freq-Abstract,Age,"It is the length of time that a person, animal, or object has existed, usually counted in years, and often denotes a specific period in history. The term also describes the gradual process of getting older.",,"It is a term for the length of time that a person or an object has existed. If someone asks how old you are, the numerical reply given would be indicative of this.",Age,,,The process of growing older. The number of years a person has lived,Age,,,"A numerical value associated with the length of time someone or something has remained in a certain state. Carbon dating can be used to determine how old something is, such as fossils or old trees.",Age,,,This increases once a year. A common question when buying alcohol.,Age,,,A word used to describe how long a person has been alive. It can also be used as a verb that describes the passage of time or something getting older.,Aging,
28,High-Freq-Abstract,Credit,"In finance, it is an entry that records an amount owed to a party, reducing the balance on a ledger or indicating a loan. In everyday language, it denotes public acknowledgment or praise given to someone for their contribution or achievement.",,This term can refer to money extended to pay back later. It can also refer to acknowledgement for something created or accomplished.,Debt,,,An amount owing to someone. A favour done in return to another person.,Debt,,,"One is often considered at a deficit if they owe individuals either favors or money. In today's economy, many people have to take out loans or get credit cards just to get by.",Debtor,,,Someone who you owe money to. He loans you money and then comes to collect it.,Debtor,,,"Someone who owes credit, such as money, to another person. This is under the assumption that they will repay what they owe.",Debtor,
29,Low-Freq-Abstract,Fame,"It is the state of being widely known and recognized, often because of notable achievements or public exposure. This condition can bring admiration, attention, and sometimes pressure from the public.",,This is a term for when someone has gained celebrity or garnered recognition. It is also a famous musical about a performing arts school.,Star,,,A heavenly body that twinkles in the sky. Alternatively a leading actor of stage and screen.,Star,,,"Millions of miles away, hot balls of various gasses twinkle and shine, gazing down at our world only for us to admire them at night. Can also refer to a person of some amount of fame.",Star,,,"You will see these at night depending on how clear the sky is. If you ever get lost, you can find your way home by following the North ----.",Star,,,"An astrological entity that can be seen in the sky at night. It is often depicted in drawings as a yellow, five-pointed shape.",Star,
30,Low-Freq-Concrete,Barnacle,"A marine crustacean that cements itself permanently to rocks, ship hulls, or other hard surfaces. It has a hard, cone‑shaped shell and feeds by filtering plankton from the surrounding water.",,It is a crustacean that commonly lives and grows in the ocean. It is best known for attaching and growing on the hulls of boats and ships.,Barncacle,,,A seashore creature. It is found in quantities on coastal rocks,Urchin,,,"A spiky sea creature, who's gonads are collected for consumption. Can also be used to describe homeless pickpocket children.",Urchin,,,Someone who begs on the street. He might seem down on his luck.,Panhandler,,,"The act of begging, typically in public, for things such as money or food. A common term used in North America",Pleading,
31,High-Freq-Concrete,Pen,"It is a small handheld instrument used for writing or drawing by delivering ink onto paper. Often made of plastic or metal, it contains a thin cartridge of liquid ink that flows through a narrow tip when pressure is applied.",,It is a writing implement that uses ink instead of graphite. It comes in several varieties and color options to suit different writing needs and preferences.,Pen,,,A writing instrument. It uses ink,Pen,,,A writing instrument that utilizes ink and comes in a variety of unique colors. Another use for this word would also involve creating a perimeter to keep animals within an area.,Pen,,,"It is a writing utensil. It usually comes in red, black, or blue.",Marker,,,An item of stationary that would be found at a school. It often comes in many colours and is used for colouring and art.,Crayons,
