Summary_Level,Category,Word,Total,Correct,Accuracy,Accuracy_Percent
word,High-Freq-Concrete,Chicken,100,100,1.0,100.0
word,High-Freq-Concrete,Child,100,99,0.99,99.0
word,High-Freq-Concrete,Clock,100,100,1.0,100.0
word,High-Freq-Concrete,Cloud,100,100,1.0,100.0
word,High-Freq-Concrete,Coat,100,95,0.95,95.0
word,High-Freq-Concrete,Coffee,100,100,1.0,100.0
word,High-Freq-Concrete,Computer,100,100,1.0,100.0
word,High-Freq-Concrete,Corn,100,99,0.99,99.0
word,High-Freq-Concrete,Cow,100,97,0.97,97.0
word,High-Freq-Concrete,Cup,100,92,0.92,92.0
word,High-Freq-Concrete,Desk,100,99,0.99,99.0
word,High-Freq-Concrete,Doctor,100,74,0.74,74.0
word,High-Freq-Concrete,Dog,100,100,1.0,100.0
word,High-Freq-Concrete,Door,100,100,1.0,100.0
word,High-Freq-Concrete,Dress,100,100,1.0,100.0
word,High-Freq-Concrete,Ear,100,99,0.99,99.0
word,High-Freq-Concrete,Egg,100,100,1.0,100.0
word,High-Freq-Concrete,Eye,100,100,1.0,100.0
word,High-Freq-Concrete,Face,100,100,1.0,100.0
word,High-Freq-Concrete,Farm,100,100,1.0,100.0
word,High-Freq-Concrete,Fire,100,94,0.94,94.0
word,High-Freq-Concrete,Fish,100,100,1.0,100.0
word,High-Freq-Concrete,Floor,100,100,1.0,100.0
word,High-Freq-Concrete,Flower,100,100,1.0,100.0
word,High-Freq-Concrete,Food,100,100,1.0,100.0
word,High-Freq-Concrete,Foot,100,100,1.0,100.0
word,High-Freq-Concrete,Fork,100,100,1.0,100.0
word,High-Freq-Concrete,Friend,100,100,1.0,100.0
word,High-Freq-Concrete,Fruit,100,100,1.0,100.0
word,High-Freq-Concrete,Garden,100,100,1.0,100.0
word,High-Freq-Concrete,Girl,100,100,1.0,100.0
word,High-Freq-Concrete,Glass,100,100,1.0,100.0
word,High-Freq-Concrete,Gold,100,100,1.0,100.0
word,High-Freq-Concrete,Grass,100,100,1.0,100.0
word,High-Freq-Concrete,Hair,100,100,1.0,100.0
word,High-Freq-Concrete,Hand,100,100,1.0,100.0
word,High-Freq-Concrete,Hat,100,100,1.0,100.0
word,High-Freq-Concrete,Head,100,100,1.0,100.0
word,High-Freq-Concrete,Heart,100,100,1.0,100.0
word,High-Freq-Concrete,Home,100,100,1.0,100.0
word,High-Freq-Concrete,Horse,100,100,1.0,100.0
word,High-Freq-Concrete,House,100,100,1.0,100.0
word,High-Freq-Concrete,Ice,100,100,1.0,100.0
word,High-Freq-Concrete,Key,100,100,1.0,100.0
word,High-Freq-Concrete,Knife,100,100,1.0,100.0
word,High-Freq-Concrete,Lamp,100,100,1.0,100.0
word,High-Freq-Concrete,Leaf,100,100,1.0,100.0
word,High-Freq-Concrete,Leg,100,100,1.0,100.0
word,High-Freq-Concrete,Letter,100,100,1.0,100.0
word,High-Freq-Concrete,Light,100,100,1.0,100.0
word,High-Freq-Concrete,Man,100,100,1.0,100.0
word,High-Freq-Concrete,Map,100,100,1.0,100.0
word,High-Freq-Concrete,Meat,100,100,1.0,100.0
word,High-Freq-Concrete,Milk,100,100,1.0,100.0
word,High-Freq-Concrete,Money,100,94,0.94,94.0
word,High-Freq-Concrete,Moon,100,100,1.0,100.0
word,High-Freq-Concrete,Morning,100,99,0.99,99.0
word,High-Freq-Concrete,Mother,100,100,1.0,100.0
word,High-Freq-Concrete,Mountain,100,100,1.0,100.0
word,High-Freq-Concrete,Mouse,100,100,1.0,100.0
word,High-Freq-Concrete,Mouth,100,100,1.0,100.0
word,High-Freq-Concrete,Music,100,100,1.0,100.0
word,High-Freq-Concrete,Night,100,100,1.0,100.0
word,High-Freq-Concrete,Nose,100,100,1.0,100.0
word,High-Freq-Concrete,Ocean,100,100,1.0,100.0
word,High-Freq-Concrete,Office,100,100,1.0,100.0
word,High-Freq-Concrete,Oil,100,100,1.0,100.0
word,High-Freq-Concrete,Paper,100,100,1.0,100.0
word,High-Freq-Concrete,Park,100,100,1.0,100.0
word,High-Freq-Concrete,Pen,100,100,1.0,100.0
word,High-Freq-Concrete,Phone,100,3,0.03,3.0
word,High-Freq-Concrete,Picture,100,62,0.62,62.0
word,High-Freq-Concrete,Pig,100,100,1.0,100.0
word,High-Freq-Concrete,Pizza,100,100,1.0,100.0
word,High-Freq-Concrete,Plane,100,53,0.53,53.0
word,High-Freq-Concrete,Plant,100,100,1.0,100.0
word,High-Freq-Concrete,Plate,100,100,1.0,100.0
word,High-Freq-Concrete,Rain,100,100,1.0,100.0
word,High-Freq-Concrete,Ring,100,99,0.99,99.0
word,High-Freq-Concrete,River,100,100,1.0,100.0
word,High-Freq-Concrete,Road,100,100,1.0,100.0
word,High-Freq-Concrete,Rock,100,97,0.97,97.0
word,Low-Freq-Abstract,Aberration,100,42,0.42,42.0
word,Low-Freq-Abstract,Acrimony,100,63,0.63,63.0
word,Low-Freq-Abstract,Adulation,100,62,0.62,62.0
word,Low-Freq-Abstract,Affluence,100,90,0.9,90.0
word,Low-Freq-Abstract,Alacrity,100,93,0.93,93.0
word,Low-Freq-Abstract,Allegory,100,100,1.0,100.0
word,Low-Freq-Abstract,Ambivalence,100,100,1.0,100.0
word,Low-Freq-Abstract,Amnesty,100,100,1.0,100.0
word,Low-Freq-Abstract,Anarchy,100,100,1.0,100.0
word,Low-Freq-Abstract,Animosity,100,44,0.44,44.0
word,Low-Freq-Abstract,Anomaly,100,61,0.61,61.0
word,Low-Freq-Abstract,Apathy,100,100,1.0,100.0
word,Low-Freq-Abstract,Apex,100,99,0.99,99.0
word,Low-Freq-Abstract,Aptitude,100,100,1.0,100.0
word,Low-Freq-Abstract,Arrogance,100,98,0.98,98.0
word,Low-Freq-Abstract,Atonement,100,100,1.0,100.0
word,Low-Freq-Abstract,Atrophy,100,100,1.0,100.0
word,Low-Freq-Abstract,Audacity,100,81,0.81,81.0
word,Low-Freq-Abstract,Avarice,100,30,0.3,30.0
word,Low-Freq-Abstract,Aversion,100,100,1.0,100.0
word,Low-Freq-Abstract,Banal,100,0,0.0,0.0
word,Low-Freq-Abstract,Bane,100,98,0.98,98.0
word,Low-Freq-Abstract,Benevolence,100,8,0.08,8.0
word,Low-Freq-Abstract,Bias,100,100,1.0,100.0
word,Low-Freq-Abstract,Bigotry,100,99,0.99,99.0
word,Low-Freq-Abstract,Blasphemy,100,99,0.99,99.0
word,Low-Freq-Abstract,Brevity,100,22,0.22,22.0
word,Low-Freq-Abstract,Calamity,100,9,0.09,9.0
word,Low-Freq-Abstract,Candor,100,92,0.92,92.0
word,Low-Freq-Abstract,Catharsis,100,100,1.0,100.0
word,Low-Freq-Abstract,Censure,100,100,1.0,100.0
word,Low-Freq-Abstract,Chaos,100,100,1.0,100.0
word,Low-Freq-Abstract,Charisma,100,100,1.0,100.0
word,Low-Freq-Abstract,Chivalry,100,100,1.0,100.0
word,Low-Freq-Abstract,Clemency,100,95,0.95,95.0
word,Low-Freq-Abstract,Coercion,100,91,0.91,91.0
word,Low-Freq-Abstract,Collusion,100,100,1.0,100.0
word,Low-Freq-Abstract,Complacency,100,100,1.0,100.0
word,Low-Freq-Abstract,Concord,100,96,0.96,96.0
word,Low-Freq-Abstract,Consensus,100,100,1.0,100.0
word,Low-Freq-Abstract,Contempt,100,86,0.86,86.0
word,Low-Freq-Abstract,Conundrum,100,94,0.94,94.0
word,Low-Freq-Abstract,Credulity,100,89,0.89,89.0
word,Low-Freq-Abstract,Dearth,100,11,0.11,11.0
word,Low-Freq-Abstract,Debacle,100,52,0.52,52.0
word,Low-Freq-Abstract,Decorum,100,71,0.71,71.0
word,Low-Freq-Abstract,Decree,100,94,0.94,94.0
word,Low-Freq-Abstract,Deference,100,98,0.98,98.0
word,Low-Freq-Abstract,Delusion,100,100,1.0,100.0
word,Low-Freq-Abstract,Demise,100,96,0.96,96.0
word,Low-Freq-Abstract,Depravity,100,96,0.96,96.0
word,Low-Freq-Abstract,Derision,100,99,0.99,99.0
word,Low-Freq-Abstract,Despair,100,100,1.0,100.0
word,Low-Freq-Abstract,Destiny,100,42,0.42,42.0
word,Low-Freq-Abstract,Detriment,100,67,0.67,67.0
word,Low-Freq-Abstract,Devotion,100,100,1.0,100.0
word,Low-Freq-Abstract,Dilemma,100,100,1.0,100.0
word,Low-Freq-Abstract,Discord,100,98,0.98,98.0
word,Low-Freq-Abstract,Disdain,100,96,0.96,96.0
word,Low-Freq-Abstract,Dissent,100,99,0.99,99.0
word,Low-Freq-Abstract,Dogma,100,100,1.0,100.0
word,Low-Freq-Abstract,Drudgery,100,100,1.0,100.0
word,Low-Freq-Abstract,Duplicity,100,91,0.91,91.0
word,Low-Freq-Abstract,Ebullience,100,22,0.22,22.0
word,Low-Freq-Abstract,Ecstasy,100,98,0.98,98.0
word,Low-Freq-Abstract,Edict,100,49,0.49,49.0
word,Low-Freq-Abstract,Efficacy,100,98,0.98,98.0
word,Low-Freq-Abstract,Ego,100,100,1.0,100.0
word,Low-Freq-Abstract,Elation,100,95,0.95,95.0
word,Low-Freq-Abstract,Elegance,100,95,0.95,95.0
word,Low-Freq-Abstract,Empathy,100,100,1.0,100.0
word,Low-Freq-Abstract,Enigma,100,61,0.61,61.0
word,Low-Freq-Abstract,Enmity,100,63,0.63,63.0
word,Low-Freq-Abstract,Ennui,100,97,0.97,97.0
word,Low-Freq-Abstract,Epiphany,100,100,1.0,100.0
word,Low-Freq-Abstract,Equity,100,100,1.0,100.0
word,Low-Freq-Abstract,Essence,100,100,1.0,100.0
word,Low-Freq-Abstract,Euphoria,100,97,0.97,97.0
word,Low-Freq-Abstract,Exodus,100,100,1.0,100.0
word,Low-Freq-Abstract,Expediency,100,53,0.53,53.0
word,Low-Freq-Abstract,Fallacy,100,100,1.0,100.0
word,Low-Freq-Abstract,Fame,100,99,0.99,99.0
word,Low-Freq-Abstract,Famine,100,100,1.0,100.0
word,Low-Freq-Abstract,Fatigue,100,91,0.91,91.0
word,Low-Freq-Abstract,Feud,100,100,1.0,100.0
word,Low-Freq-Abstract,Fidelity,100,92,0.92,92.0
word,Low-Freq-Abstract,Finesse,100,99,0.99,99.0
word,Low-Freq-Abstract,Flattery,100,99,0.99,99.0
word,Low-Freq-Abstract,Folly,100,84,0.84,84.0
word,Low-Freq-Abstract,Fortitude,100,95,0.95,95.0
word,Low-Freq-Abstract,Frenzy,100,99,0.99,99.0
word,Low-Freq-Abstract,Friction,100,100,1.0,100.0
word,Low-Freq-Abstract,Frugality,100,84,0.84,84.0
word,Low-Freq-Abstract,Futility,100,46,0.46,46.0
word,Low-Freq-Abstract,Gallantry,100,44,0.44,44.0
word,Low-Freq-Abstract,Gambit,100,97,0.97,97.0
word,Low-Freq-Abstract,Genesis,100,100,1.0,100.0
word,Low-Freq-Abstract,Glamour,100,100,1.0,100.0
word,Low-Freq-Abstract,Gluttony,100,100,1.0,100.0
word,Low-Freq-Abstract,Gratitude,100,100,1.0,100.0
word,Low-Freq-Concrete,Abacus,100,100,1.0,100.0
word,Low-Freq-Concrete,Accordion,100,100,1.0,100.0
word,Low-Freq-Concrete,Acorn,100,100,1.0,100.0
word,Low-Freq-Concrete,Anvil,100,100,1.0,100.0
word,Low-Freq-Concrete,Archipelago,100,100,1.0,100.0
word,Low-Freq-Concrete,Armadillo,100,100,1.0,100.0
word,Low-Freq-Concrete,Artichoke,100,100,1.0,100.0
word,Low-Freq-Concrete,Asparagus,100,100,1.0,100.0
word,Low-Freq-Concrete,Astrolabe,100,96,0.96,96.0
word,Low-Freq-Concrete,Awl,100,100,1.0,100.0
word,Low-Freq-Concrete,Bagpipe,100,96,0.96,96.0
word,Low-Freq-Concrete,Banjo,100,100,1.0,100.0
word,Low-Freq-Concrete,Barnacle,100,100,1.0,100.0
word,Low-Freq-Concrete,Barometer,100,100,1.0,100.0
word,Low-Freq-Concrete,Basilisk,100,99,0.99,99.0
word,Low-Freq-Concrete,Bassoon,100,80,0.8,80.0
word,Low-Freq-Concrete,Baton,100,100,1.0,100.0
word,Low-Freq-Concrete,Beaker,100,93,0.93,93.0
word,Low-Freq-Concrete,Beaver,100,100,1.0,100.0
word,Low-Freq-Concrete,Bellows,100,100,1.0,100.0
word,Low-Freq-Concrete,Beret,100,100,1.0,100.0
word,Low-Freq-Concrete,Bifocals,100,85,0.85,85.0
word,Low-Freq-Concrete,Biscuit,100,91,0.91,91.0
word,Low-Freq-Concrete,Blimp,100,100,1.0,100.0
word,Low-Freq-Concrete,Bonnet,100,96,0.96,96.0
word,Low-Freq-Concrete,Boomerang,100,100,1.0,100.0
word,Low-Freq-Concrete,Bouquet,100,100,1.0,100.0
word,Low-Freq-Concrete,Bramble,100,68,0.68,68.0
word,Low-Freq-Concrete,Brocade,100,100,1.0,100.0
word,Low-Freq-Concrete,Buckle,100,97,0.97,97.0
word,Low-Freq-Concrete,Bungalow,100,94,0.94,94.0
word,Low-Freq-Concrete,Cactus,100,100,1.0,100.0
word,Low-Freq-Concrete,Cauldron,100,100,1.0,100.0
word,Low-Freq-Concrete,Cello,100,100,1.0,100.0
word,Low-Freq-Concrete,Centipede,100,95,0.95,95.0
word,Low-Freq-Concrete,Chalice,100,95,0.95,95.0
word,Low-Freq-Concrete,Chandelier,100,100,1.0,100.0
word,Low-Freq-Concrete,Chariot,100,100,1.0,100.0
word,Low-Freq-Concrete,Chisel,100,99,0.99,99.0
word,Low-Freq-Concrete,Chrysanthemum,100,100,1.0,100.0
word,Low-Freq-Concrete,Clarinet,100,100,1.0,100.0
word,Low-Freq-Concrete,Cleaver,100,100,1.0,100.0
word,Low-Freq-Concrete,Cobweb,100,95,0.95,95.0
word,Low-Freq-Concrete,Cockroach,100,100,1.0,100.0
word,Low-Freq-Concrete,Colander,100,100,1.0,100.0
word,Low-Freq-Concrete,Compass,100,100,1.0,100.0
word,Low-Freq-Concrete,Corset,100,100,1.0,100.0
word,Low-Freq-Concrete,Coyote,100,100,1.0,100.0
word,Low-Freq-Concrete,Crayfish,100,97,0.97,97.0
word,Low-Freq-Concrete,Crowbar,100,100,1.0,100.0
word,Low-Freq-Concrete,Crucible,100,100,1.0,100.0
word,Low-Freq-Concrete,Cuckoo,100,100,1.0,100.0
word,Low-Freq-Concrete,Curio,100,100,1.0,100.0
word,Low-Freq-Concrete,Cutlass,100,97,0.97,97.0
word,Low-Freq-Concrete,Cymbal,100,100,1.0,100.0
word,Low-Freq-Concrete,Dagger,100,92,0.92,92.0
word,Low-Freq-Concrete,Dandelion,100,100,1.0,100.0
word,Low-Freq-Concrete,Decanter,100,100,1.0,100.0
word,Low-Freq-Concrete,Dirigible,100,9,0.09,9.0
word,Low-Freq-Concrete,Dodo,100,100,1.0,100.0
word,Low-Freq-Concrete,Dragonfly,100,98,0.98,98.0
word,Low-Freq-Concrete,Drawbridge,100,100,1.0,100.0
word,Low-Freq-Concrete,Dumbbell,100,99,0.99,99.0
word,Low-Freq-Concrete,Dynamite,100,100,1.0,100.0
word,Low-Freq-Concrete,Easel,100,100,1.0,100.0
word,Low-Freq-Concrete,Eclair,100,100,1.0,100.0
word,Low-Freq-Concrete,Emus,100,0,0.0,0.0
word,Low-Freq-Concrete,Epaulet,100,88,0.88,88.0
word,Low-Freq-Concrete,Ermine,100,100,1.0,100.0
word,Low-Freq-Concrete,Espadrille,100,94,0.94,94.0
word,Low-Freq-Concrete,Falcon,100,94,0.94,94.0
word,Low-Freq-Concrete,Fedora,100,100,1.0,100.0
word,Low-Freq-Concrete,Fez,100,100,1.0,100.0
word,Low-Freq-Concrete,Fiddle,100,94,0.94,94.0
word,Low-Freq-Concrete,Figurine,100,100,1.0,100.0
word,Low-Freq-Concrete,Flute,100,100,1.0,100.0
word,Low-Freq-Concrete,Fresco,100,100,1.0,100.0
word,Low-Freq-Concrete,Fuselage,100,99,0.99,99.0
word,Low-Freq-Concrete,Gable,100,100,1.0,100.0
word,Low-Freq-Concrete,Gadget,100,100,1.0,100.0
word,Low-Freq-Concrete,Galleon,100,100,1.0,100.0
word,Low-Freq-Concrete,Gargoyle,100,100,1.0,100.0
word,Low-Freq-Concrete,Gauntlet,100,100,1.0,100.0
word,Low-Freq-Concrete,Gazebo,100,100,1.0,100.0
word,Low-Freq-Concrete,Geode,100,100,1.0,100.0
word,Low-Freq-Concrete,Gerbil,100,91,0.91,91.0
word,Low-Freq-Concrete,Geyser,100,100,1.0,100.0
word,Low-Freq-Concrete,Gimlet,100,72,0.72,72.0
word,Low-Freq-Concrete,Glacier,100,100,1.0,100.0
word,Low-Freq-Concrete,Glider,100,100,1.0,100.0
word,Low-Freq-Concrete,Gnome,100,100,1.0,100.0
word,Low-Freq-Concrete,Goblet,100,83,0.83,83.0
word,Low-Freq-Concrete,Gondola,100,100,1.0,100.0
word,Low-Freq-Concrete,Gong,100,100,1.0,100.0
word,Low-Freq-Concrete,Gopher,100,98,0.98,98.0
word,Low-Freq-Concrete,Gorilla,100,100,1.0,100.0
word,Low-Freq-Concrete,Harpsichord,100,100,1.0,100.0
word,Low-Freq-Concrete,Pangolin,100,100,1.0,100.0
word,Low-Freq-Concrete,Trebuchet,100,99,0.99,99.0
word,Low-Freq-Concrete,Ziggurat,100,100,1.0,100.0
